,security_concern,obj_name,scanner_name,severity_category,severity_numeric
181,other,ps-001-1-podsecurity-level-should-be-specified,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
182,other,ps-001-no-pod-security-admission-label-configured,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
183,other,psa-001-no-pod-security-admission-label-configured,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
184,other,psa-003-just-warning-about-violations-of-the-pod-security-stand,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
186,other,rel-001-no-readinessprobe,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
188,other,rel-002-no-livenessprobe,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
190,other,rel-003-no-priorityclass,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
192,other,rel-004-1-no-node-selection-specified,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
194,other,rel-004-2-only-nodeaffinity-is-enough,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
196,other,rel-004-3-only-nodeselector-is-enough,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
198,other,res-005-1-default-ephemeral-storage-requests-from-namespace,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'MEDIUM', 'CRITICAL', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(5), np.int64(4), np.int64(2)]"
200,other,res-005-2-no-ephemeral-storage-requests,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'MEDIUM', 'CRITICAL', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(5), np.int64(4), np.int64(2)]"
202,other,res-006-1-default-ephemeral-storage-limits-from-namespace,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
204,other,res-006-2-no-ephemeral-storage-limits,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
206,other,res-007-0-no-limitrange-object-for-namespace,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
208,other,sc-001-1-imagepullpolicy-defaults-to-always,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
210,other,sc-001-2-no-proper-imagepullpolicy-set,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
212,other,sc-001-3-no-proper-imagepullpolicy-set,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
214,other,sc-002-1-tag-instead-of-digest-is-fine,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
216,other,sc-002-2-using-latest-image-tag,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
218,other,sc-002-3-no-explicit-tag,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
220,other,wl-001-naked-pod,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
222,privileged-containers,pod-032-1-non-privileged-container-by-default,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
224,privileged-containers,pod-032-2-privileged-container,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
225,privileged-containers,ps-002-using-privilegedpodsecurity-level-is-insecure,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
226,privileged-containers,psa-002-using-privileged-privilegedpodsecurity-level-is-insecur,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
228,rbac-permissions,rbac-001-1-use-cluster-admin-role-rb-cluster-admin,"['polaris', 'snyk']","['HIGH', 'MEDIUM']","[np.int64(4), np.int64(3)]"
231,rbac-permissions,rbac-001-2-use-cluster-admin-role-cluster-wide-rb-cluster-admin,"['polaris', 'snyk']",['HIGH'],[np.int64(4)]
238,rbac-permissions,rbac-003-1-all-resource-reader,"['polaris', 'snyk']","['HIGH', 'MEDIUM']","[np.int64(4), np.int64(3)]"
241,rbac-permissions,rbac-003-2-cluster-all-resource-reader,"['polaris', 'snyk']",['HIGH'],[np.int64(4)]
244,rbac-permissions,rbac-003-3-all-ns-verbs,"['polaris', 'snyk']","['HIGH', 'MEDIUM']","[np.int64(4), np.int64(3)]"
247,rbac-permissions,rbac-003-4-cluster-all-ns-verbs,"['polaris', 'snyk']",['HIGH'],[np.int64(4)]
273,rbac-permissions,rbac-007-1-role-binds-default-serviceaccount-rb-rbac-007-1-role-bind-default-sa,"['polaris', 'snyk']","['HIGH', 'MEDIUM']","[np.int64(4), np.int64(3)]"
275,rbac-permissions,rbac-007-2-cluster-role-binds-default-serviceaccount-rb-rbac-007-2-cluster-role-bind-default-sa,"['polaris', 'snyk']",['HIGH'],[np.int64(4)]
304,rbac-permissions,rbac-012-1-role-disclose-info,"['polaris', 'snyk']","['HIGH', 'MEDIUM']","[np.int64(4), np.int64(3)]"
307,rbac-permissions,rbac-012-2-role-disclose-info,"['polaris', 'snyk']","['HIGH', 'MEDIUM']","[np.int64(4), np.int64(3)]"
310,rbac-permissions,rbac-012-3-role-disclose-info,"['polaris', 'snyk']","['HIGH', 'MEDIUM']","[np.int64(4), np.int64(3)]"
313,rbac-permissions,rbac-012-4-cluster-role-disclose-info,"['polaris', 'snyk']",['HIGH'],[np.int64(4)]
316,rbac-permissions,rbac-012-5-cluster-role-disclose-info,"['polaris', 'snyk']",['HIGH'],[np.int64(4)]
319,rbac-permissions,rbac-012-6-cluster-role-disclose-info,"['polaris', 'snyk']",['HIGH'],[np.int64(4)]
388,resource-limits,res-001-1-default-memory-requests-from-namespace,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
390,resource-limits,res-001-2-no-memory-requests,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
392,resource-limits,res-002-1-default-memory-limits-from-namespace,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
394,resource-limits,res-002-2-no-memory-limits,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
396,resource-limits,res-003-1-default-cpu-requests-from-namespace,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['CRITICAL', 'PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(5), np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
398,resource-limits,res-003-2-no-cpu-requests,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['CRITICAL', 'PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(5), np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
400,resource-limits,res-004-1-default-cpu-limits-from-namespace,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['CRITICAL', 'PASS', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(5), np.int64(0), np.int64(4), np.int64(3), np.int64(2)]"
402,resource-limits,res-004-2-no-cpu-limits,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['CRITICAL', 'PASS', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(5), np.int64(0), np.int64(4), np.int64(3), np.int64(2)]"
403,resource-limits,res-007-1-no-default-cpu-request-for-namespace,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
404,resource-limits,res-007-2-no-default-cpu-limits-for-namespace,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
405,resource-limits,res-007-3-no-cpu-limits-for-namespace,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
406,resource-limits,res-008-1-no-default-memory-request-for-namespace,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
407,resource-limits,res-008-2-no-default-memory-limits-for-namespace,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
408,resource-limits,res-008-3-no-default-memory-limits-for-namespace,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
410,resource-limits,res-009-1-no-resource-quota-applied-to-namespace,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
411,resource-limits,res-009-2-no-hard-quotas-defined-in-resourcequota-for-namespace,"['kube-score', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(3), np.int64(4), np.int64(2)]"
413,root-user,pod-017-1-default-to-root-user,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
415,root-user,pod-017-2-use-runasnonroot-flag-on-pod,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
417,root-user,pod-017-3-runasnonroot-is-optional,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
419,root-user,pod-017-4-use-root-user-in-pod,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
421,root-user,pod-017-5-use-runasnonroot-flag-on-container,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
423,root-user,pod-017-6-runasnonroot-is-optional-on-container,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
425,root-user,pod-017-7-use-root-user-on-container,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
427,root-user,pod-017-8-set-runasnonroot-correctly-on-container,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
429,root-user,pod-017-9-set-runasnonroot-not-correctly-on-container,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
431,root-user,pod-018-1-default-to-root-user,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
433,root-user,pod-019-1-default-to-root-group,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
435,root-user,pod-033-1-root-fs-is-writeable-by-default,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
437,root-user,pod-033-2-root-fs-is-explicitly-writeable,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
